Design,material,cut_geometry,thickness,dome_height,cut_length
12,DS20,X,0.29954198128556925,1.1572449584110065,0.75
13,DS20,X,0.2535000415951125,1.1802259456270365,0.75
14,DS20,X,0.2,1.2027478853366804,0.75
