Design,material,cut_geometry,thickness,dome_height,cut_length
6,DS20,X,0.20000000052802303,1.1267727755585915,0.7524168655582841
7,DS20,X,0.6061525827433261,1.0515255495853855,0.75
8,DS20,X,0.7431156466073972,1.1187854363970031,0.7980796322106559
