index,z_s,z_p1,z_p2,z_r2,xs,xp1,xp2,xr2,r_a,thickness,Cl,material,lubricant
24,14.0,39.0,34.0,83,-0.3872,-0.6814,-0.1242,0.1132,0.0206,6,0.0003,PLA,LI
25,14.0,35.0,31.0,83,0.8,0.7697,0.8791,0.1351,0.0211,6,0.00026427949740786286,PLA,LI
