index,z_s,z_p1,z_p2,z_r2,xs,xp1,xp2,xr2,r_a,thickness,Cl,material,lubricant
14,14.0,37.0,28.0,79,0.6512,0.1744,0.4597,-0.1667,0.0211,6,0.0,ABS,LI
15,12.0,41.0,30.0,76,-0.6488,-0.7548,-0.4202,0.4417,0.0201,6,6.337799730449359e-05,PLA,LI
