index,z_s,z_p1,z_p2,z_r2,xs,xp1,xp2,xr2,r_a,thickness,Cl,material,lubricant
18,12.0,40.0,28.0,76,0.2497,-0.6881,-0.5212,-0.25,0.0205,6,5.055807329382603e-05,ABS,LI
19,12.0,37.0,29.0,76,0.0535,0.7687,-0.9057,-0.0937,0.0204,6,0.00016360576841404208,PLA,None
