index,z_s,z_p1,z_p2,z_r2,xs,xp1,xp2,xr2,r_a,thickness,Cl,material,lubricant
28,12.0,37.0,30.0,76,0.7809,0.5442,-0.9744,0.5498,0.0207,6,5.2286906260997054e-05,PLA,LI
29,12.0,38.0,30.0,76,-0.4211,0.4349,-0.5589,0.5962,0.0202,6,0.00022049386265956842,PLA,LI
