index,z_s,z_p1,z_p2,z_r2,xs,xp1,xp2,xr2,r_a,thickness,Cl,material,lubricant
26,12.0,36.0,28.0,76,0.4713,0.8893,-0.5558,0.1148,0.0206,6,0.0003,PLA,LI
27,12.0,36.0,26.0,76,0.3792,0.9696,0.5374,0.1321,0.0206,12,0.00027268375249613557,PLA,LI
