index,z_s,z_p1,z_p2,z_r2,xs,xp1,xp2,xr2,r_a,thickness,Cl,material,lubricant
30,12.0,41.0,31.0,80,-0.8,-0.975,0.9738,0.5437,0.0201,6,0.0003,PLA,None
31,12.0,39.0,31.0,81,0.736,-0.743,0.6944,0.49,0.0207,6,0.0003,PLA,PTFE
