index,z_s,z_p1,z_p2,z_r2,xs,xp1,xp2,xr2,r_a,thickness,Cl,material,lubricant
20,12.0,40.0,28.0,76,-0.2455,-0.5619,-0.311,-0.159,0.0203,10,0.00014775053438765385,PLA,LI
21,16.0,38.0,26.0,76,0.2101,-0.9065,-0.6725,-0.25,0.0213,10,0.00024121164585253412,PLA,LI
