index,z_s,z_p1,z_p2,z_r2,xs,xp1,xp2,xr2,r_a,thickness,Cl,material,lubricant
12,12.0,39.0,29.0,76,0.3897,-0.2036,-0.5336,0.2523,0.0206,6,7.012641362331293e-06,PLA,PTFE
13,18.0,35.0,25.0,76,0.7965,-0.2732,-0.8503,-0.1089,0.0219,12,0.0003,ABS,LI
