index,z_s,z_p1,z_p2,z_r2,xs,xp1,xp2,xr2,r_a,thickness,Cl,material,lubricant
16,12.0,39.0,28.0,76,0.3318,-0.5409,-0.0369,0.5677,0.0205,12,0.0003,PLA,LI
17,12.0,41.0,32.0,76,-0.8,-0.6,-0.9283,0.7874,0.0201,12,2.978553985104956e-08,PLA,LI
