index,z_s,z_p1,z_p2,z_r2,xs,xp1,xp2,xr2,r_a,thickness,Cl,material,lubricant
22,12.0,36.0,28.0,76,0.7513,0.7854,-0.6001,0.1686,0.0207,6,0.0002711304040058087,PLA,LI
23,12.0,37.0,29.0,76,0.1718,0.5391,-0.767,0.262,0.0205,6,0.0003,ABS,LI
