index,z_s,z_p1,z_p2,z_r2,xs,xp1,xp2,xr2,r_a,thickness,Cl,material,lubricant
10,14.0,39.0,31.0,77,-0.3571,-0.6964,-0.9912,0.7604,0.0207,12,0.0003,ABS,LI
11,16.0,38.0,24.0,76,-0.4013,-0.6744,0.8601,0.0632,0.021,12,0.0003,ABS,None
